Date,Total P2PK addresses,Total P2PK coins
01/09/2009 02:54:25,1,0
01/09/2009 02:55:44,2,0
01/09/2009 03:02:53,3,0
01/09/2009 03:16:28,4,0
01/09/2009 03:23:48,5,0
01/09/2009 03:29:49,6,0
01/09/2009 03:39:29,7,0
01/09/2009 03:45:43,8,0
01/09/2009 03:54:39,9,0
01/09/2009 04:05:52,10,0
01/09/2009 04:12:40,11,0
01/09/2009 04:21:28,12,0
01/09/2009 04:23:40,13,0
01/09/2009 04:33:09,14,0
01/10/2009 04:45:46,15,0
01/10/2009 04:45:58,16,0
01/10/2009 05:03:11,17,0
01/10/2009 05:12:14,18,0
01/10/2009 05:22:54,19,0
01/10/2009 05:39:55,20,0
01/10/2009 05:49:13,21,0
01/10/2009 06:04:27,22,0
01/10/2009 06:06:51,23,0
01/10/2009 06:17:57,24,0
01/10/2009 06:24:06,25,0
01/10/2009 06:54:10,26,0
01/10/2009 06:56:13,27,0
01/10/2009 15:30:57,28,0
01/10/2009 15:31:43,29,0
01/10/2009 15:42:02,30,0
01/10/2009 15:52:16,31,0
01/10/2009 15:59:31,32,0
01/10/2009 16:12:19,33,0
01/10/2009 16:18:58,34,0
01/10/2009 16:32:33,35,0
01/10/2009 16:43:09,36,0
01/10/2009 16:59:22,37,0
01/10/2009 17:11:28,38,0
01/10/2009 17:11:51,39,0
01/10/2009 17:23:28,40,0
01/10/2009 17:35:03,41,0
01/10/2009 17:39:13,42,0
01/10/2009 17:44:37,43,0
01/10/2009 17:59:21,44,0
01/10/2009 18:11:08,45,0
01/10/2009 18:23:13,46,0
01/10/2009 18:41:28,47,0
01/10/2009 18:45:40,48,0
01/10/2009 18:56:42,49,0
01/10/2009 19:11:38,50,0
01/10/2009 19:25:03,51,0
01/10/2009 19:39:23,52,0
01/10/2009 19:53:10,53,0
01/10/2009 19:56:26,54,0
01/10/2009 20:15:09,55,0
01/10/2009 20:20:48,56,0
01/10/2009 20:34:36,57,0
01/10/2009 20:49:24,58,0
01/10/2009 20:55:28,59,0
01/10/2009 21:12:39,60,0
01/10/2009 21:20:45,61,0
01/10/2009 21:33:44,62,0
01/10/2009 21:44:40,63,0
01/10/2009 21:48:27,64,0
01/10/2009 21:55:03,65,0
01/10/2009 22:03:40,66,0
01/10/2009 22:21:12,67,0
01/10/2009 22:30:18,68,0
01/10/2009 22:36:19,69,0
01/10/2009 22:47:26,70,0
01/10/2009 23:00:59,71,0
01/10/2009 23:13:14,72,0
01/10/2009 23:31:28,73,0
01/10/2009 23:46:29,74,0
01/10/2009 23:57:02,75,0
01/11/2009 00:09:14,76,0
01/11/2009 00:19:44,77,0
01/11/2009 01:00:54,78,0
01/11/2009 03:46:47,79,0
01/11/2009 03:54:37,80,0
01/11/2009 04:00:56,81,0
01/11/2009 04:18:11,82,0
01/11/2009 04:36:23,83,0
01/11/2009 04:51:37,84,0
01/11/2009 05:08:03,85,0
01/11/2009 05:16:26,86,0
01/11/2009 05:31:28,87,0
01/11/2009 05:40:08,88,0
01/11/2009 05:53:29,89,0
01/11/2009 05:59:10,90,0
01/11/2009 06:10:29,91,0
01/11/2009 06:16:01,92,0
01/11/2009 06:23:57,93,0
01/11/2009 06:33:01,94,0
01/11/2009 06:43:24,95,0
01/11/2009 06:59:45,96,0
01/11/2009 07:14:28,97,0
01/11/2009 07:32:13,98,0
01/11/2009 07:49:06,99,0
01/11/2009 08:00:25,100,0
01/11/2009 08:15:41,101,0
01/11/2009 08:31:10,102,0
01/11/2009 08:44:27,103,0
01/11/2009 08:53:29,104,0
01/11/2009 09:02:47,105,0
01/11/2009 09:19:25,106,0
01/11/2009 09:31:25,107,0
01/11/2009 09:47:02,108,0
01/11/2009 09:56:14,109,0
01/11/2009 10:12:19,110,0
01/11/2009 10:27:53,111,0
01/11/2009 10:35:37,112,0
01/11/2009 10:49:35,113,0
01/11/2009 11:00:19,114,0
01/11/2009 11:06:03,115,0
01/11/2009 11:15:48,116,0
01/11/2009 11:25:47,117,0
01/11/2009 11:31:24,118,0
01/11/2009 11:49:17,119,0
01/11/2009 12:07:03,120,0
01/11/2009 12:18:01,121,0
01/11/2009 12:27:53,122,0
01/11/2009 12:43:43,123,0
01/11/2009 12:51:18,124,0
01/11/2009 13:07:35,125,0
01/11/2009 13:18:19,126,0
01/11/2009 13:52:45,127,0
01/11/2009 13:54:51,128,0
01/11/2009 14:12:40,129,0
01/11/2009 14:28:45,130,0
01/11/2009 14:38:45,131,0
01/11/2009 14:43:28,132,0
01/11/2009 14:54:27,133,0
01/11/2009 15:02:01,134,0
01/11/2009 15:06:16,135,0
01/11/2009 15:14:28,136,0
01/11/2009 15:19:15,137,0
01/11/2009 15:28:13,138,0
01/11/2009 15:35:58,139,0
01/11/2009 15:59:23,140,0
01/11/2009 16:11:00,141,0
01/11/2009 16:23:58,142,0
01/11/2009 16:41:44,143,0
01/11/2009 16:59:04,144,0
01/11/2009 17:08:20,145,0
01/11/2009 17:14:35,146,0
01/11/2009 17:32:00,147,0
01/11/2009 17:38:48,148,0
01/11/2009 17:52:46,149,0
01/11/2009 18:02:24,150,0
01/11/2009 18:13:41,151,0
01/11/2009 18:25:09,152,0
01/11/2009 18:38:01,153,0
01/11/2009 18:53:28,154,0
01/11/2009 19:00:34,155,0
01/11/2009 19:09:40,156,0
01/11/2009 19:18:58,157,0
01/11/2009 19:32:37,158,0
01/11/2009 19:36:58,159,0
01/11/2009 19:51:06,160,0
01/11/2009 20:03:17,161,0
01/11/2009 20:07:44,162,0
01/11/2009 23:01:57,163,0
01/11/2009 23:09:07,164,0
01/11/2009 23:24:05,165,0
01/11/2009 23:25:29,166,0
01/11/2009 23:31:51,167,0
01/11/2009 23:39:41,168,0
01/12/2009 03:22:03,169,0
01/12/2009 03:30:25,172,0
01/12/2009 03:36:41,173,0
01/12/2009 03:44:13,174,0
01/12/2009 03:50:45,175,0
01/12/2009 04:01:01,176,0
01/12/2009 04:17:56,177,0
01/12/2009 04:39:02,178,0
01/12/2009 05:02:37,179,0
01/12/2009 05:12:11,180,0
01/12/2009 05:26:45,181,0
01/12/2009 05:50:52,182,0
01/12/2009 06:02:13,185,0
01/12/2009 06:12:16,188,0
01/12/2009 06:34:22,191,0
01/12/2009 06:49:09,192,0
01/12/2009 06:59:38,193,0
01/12/2009 07:01:09,194,0
01/12/2009 07:16:40,196,0
01/12/2009 07:22:17,197,0
01/12/2009 07:26:29,198,0
01/12/2009 07:31:41,199,0
01/12/2009 07:32:14,200,0
01/12/2009 07:59:24,201,0
01/12/2009 08:04:15,202,0
01/12/2009 08:10:44,203,0
01/12/2009 08:33:45,204,0
01/12/2009 08:47:26,205,0
01/12/2009 09:08:32,206,0
01/12/2009 09:22:41,207,0
01/12/2009 09:32:37,208,0
01/12/2009 09:38:40,209,0
01/12/2009 09:50:37,210,0
01/12/2009 10:09:04,211,0
01/12/2009 10:31:36,212,0
01/12/2009 10:37:18,213,0
01/12/2009 10:46:11,214,0
01/12/2009 10:52:57,215,0
01/12/2009 10:58:29,216,0
01/12/2009 11:09:07,217,0
01/12/2009 11:21:56,218,0
01/12/2009 11:25:13,219,0
01/12/2009 11:35:07,220,0
01/12/2009 11:46:17,221,0
01/12/2009 12:10:21,222,0
01/12/2009 12:17:42,223,0
01/12/2009 12:25:14,224,0
01/12/2009 12:49:54,225,0
01/12/2009 13:13:49,226,0
01/12/2009 13:29:26,227,0
01/12/2009 13:46:30,228,0
01/12/2009 13:57:45,229,0
01/12/2009 14:21:00,231,0
01/12/2009 14:30:53,232,0
01/12/2009 14:40:13,233,0
01/12/2009 14:48:09,234,0
01/12/2009 15:11:16,235,0
01/12/2009 15:23:14,236,0
01/12/2009 15:38:55,237,0
01/12/2009 15:45:25,238,0
01/12/2009 15:52:57,239,0
01/12/2009 16:08:51,240,0
01/12/2009 16:23:23,241,0
01/12/2009 16:34:40,242,0
01/12/2009 16:57:48,243,0
01/12/2009 17:08:14,244,0
01/12/2009 17:19:31,245,0
01/12/2009 17:25:59,246,0
01/12/2009 17:26:25,247,0
01/12/2009 17:40:35,248,0
01/12/2009 17:57:32,249,0
01/12/2009 18:04:54,250,0
01/12/2009 18:16:41,251,0
01/12/2009 18:42:53,252,0
01/12/2009 19:01:38,253,0
